id,name,country,url,image,pdf
184,GERMAN PINSCHER,GERMANY,http://www.fci.be/en/nomenclature/GERMAN-PINSCHER-184.html,http://www.fci.be/Nomenclature/Illustrations/184g02.jpg,http://www.fci.be/Nomenclature/Standards/184g02-en.pdf
185,MINIATURE PINSCHER,GERMANY,http://www.fci.be/en/nomenclature/MINIATURE-PINSCHER-185.html,http://www.fci.be/Nomenclature/Illustrations/185g02.jpg,http://www.fci.be/Nomenclature/Standards/185g02-en.pdf
186,AFFENPINSCHER,GERMANY,http://www.fci.be/en/nomenclature/AFFENPINSCHER-186.html,http://www.fci.be/Nomenclature/Illustrations/186g02.jpg,http://www.fci.be/Nomenclature/Standards/186g02-en.pdf
187,PORTUGUESE POINTING DOG,PORTUGAL,http://www.fci.be/en/nomenclature/PORTUGUESE-POINTING-DOG-187.html,http://www.fci.be/Nomenclature/Illustrations/187g07.jpg,http://www.fci.be/Nomenclature/Standards/187g07-en.pdf
188,SLOUGHI,MOROCCO,http://www.fci.be/en/nomenclature/SLOUGHI-188.html,,http://www.fci.be/Nomenclature/Standards/188g10-en.pdf
189,FINNISH LAPPONIAN DOG,FINLAND,http://www.fci.be/en/nomenclature/FINNISH-LAPPONIAN-DOG-189.html,http://www.fci.be/Nomenclature/Illustrations/189g05-1.jpg,http://www.fci.be/Nomenclature/Standards/189g05-en.pdf
190,HOVAWART,GERMANY,http://www.fci.be/en/nomenclature/HOVAWART-190.html,,http://www.fci.be/Nomenclature/Standards/190g02-en.pdf
191,BOUVIER DES FLANDRES,"BELGIUM, FRANCE",http://www.fci.be/en/nomenclature/BOUVIER-DES-FLANDRES-191.html,,http://www.fci.be/Nomenclature/Standards/191g01-en.pdf
192,KROMFOHRLÄNDER,GERMANY,http://www.fci.be/en/nomenclature/KROMFOHRLANDER-192.html,http://www.fci.be/Nomenclature/Illustrations/192g09.jpg,http://www.fci.be/Nomenclature/Standards/192g09-en.pdf
193,BORZOI - RUSSIAN HUNTING SIGHTHOUND,RUSSIAN FEDERATION,http://www.fci.be/en/nomenclature/BORZOI-RUSSIAN-HUNTING-SIGHTHOUND-193.html,http://www.fci.be/Nomenclature/Illustrations/193g10.jpg,http://www.fci.be/Nomenclature/Standards/193g10-en.pdf
